hip,x0,y0,z0,spect
602.0,98.151,3.129,-30.75,A2 IV/V
603.0,164.257,5.238,22.23,F5
604.0,101.364,3.24,2.948,G3 V
605.0,302.605,9.731,-463.319,K5 III
606.0,44.684,1.439,-21.187,F5 V
607.0,115.722,3.726,57.602,K1IV
608.0,587.752,18.937,-114.662,G5 III
609.0,152.555,4.919,-31.367,A5/7MA7-F2
611.0,107.683,3.489,-91.951,K0 V
610.0,72.272,2.344,-326.015,G8 III
612.0,67.523,2.201,-100.204,F5 IV/V
613.0,820.305,26.81,255.676,K0
614.0,385.106,12.641,277.343,K0
615.0,146.366,4.805,66.188,A5
616.0,29.985,0.987,-13.244,K0 V
617.0,82.437,2.715,51.558,F5
618.0,56.199,1.859,-99.962,F7 V
619.0,138.192,4.576,85.292,G5
621.0,262.391,8.716,-500.378,M1 III
620.0,19.614,0.652,-283.397,B9 IV
622.0,233.08,7.756,306.941,G5
624.0,71.108,2.366,-71.445,F8/G0 V
623.0,80.879,2.692,109.469,F0
625.0,137.332,4.573,115.62,K0
626.0,70.541,2.35,59.535,G5
627.0,147.934,4.941,-346.943,G3 III
628.0,263.451,8.816,5.035,A0/1 IV
629.0,316.154,10.584,-44.015,K0 III
630.0,82.647,2.768,67.047,F5
631.0,59.388,1.992,-133.039,K1/2 III
632.0,599.718,20.113,-898.03,M2 (III)
633.0,241.07,8.114,-254.577,K2 III
634.0,95.27,3.21,72.316,F5
635.0,218.279,7.37,-9.722,Ap Si
636.0,78.983,2.683,-32.749,A1 V
637.0,241.467,8.218,-23.204,K0 III
638.0,254.318,8.661,101.499,A2
639.0,338.967,11.551,-66.72,K0 III
640.0,116.788,4.002,93.693,A3
641.0,27.581,0.947,40.27,G0
642.0,100.54,3.461,-8.545,G5 V
644.0,216.707,7.487,-270.249,K0/1 III
645.0,99.454,3.467,-25.231,G2/5 (V) + G0/3
646.0,251.787,8.781,-85.202,K1 IV
647.0,84.451,2.945,-404.879,K3 III
649.0,85.688,2.994,-11.356,F5/6 V
648.0,20.242,0.707,-100.437,A3 V
650.0,180.231,6.304,103.439,F2
651.0,130.127,4.552,-107.763,F3/5 V
652.0,110.246,3.864,67.312,A5
653.0,205.845,7.217,-119.069,A8/9 V
654.0,273.227,9.583,-277.067,K0 III
655.0,81.114,2.853,-53.781,K1 III
656.0,57.752,2.036,78.946,F8
657.0,741.017,26.147,-418.081,G5
658.0,296.409,10.476,25.569,K0 III
659.0,162.09,5.774,98.921,A3
660.0,97.695,3.483,286.494,A0
661.0,152.756,5.465,-255.027,K1 IIICNII
663.0,113.187,4.05,-89.387,G0
662.0,120.45,4.311,-332.151,K2 III
664.0,360.748,12.915,-15.431,K2 IIICNIVp
667.0,256.464,9.211,146.571,K0
668.0,235.572,8.478,213.918,G5
669.0,26.384,0.953,-6.987,G2/3 V
670.0,268.999,9.726,184.966,A2
671.0,109.585,3.967,-17.023,K1 II
673.0,160.317,5.816,-102.993,K1 III
674.0,70.234,2.561,-65.409,K0 V
675.0,300.023,10.961,18.05,K1 III
676.0,99.473,3.638,40.064,G0
678.0,295.827,10.829,-103.227,K1 IV
677.0,25.975,0.951,14.461,B8P
679.0,175.074,6.423,210.61,A0
680.0,250.024,9.183,-388.151,K1 III
681.0,144.556,5.315,-181.209,F2 V
682.0,38.123,1.403,4.425,G2V
683.0,316.811,11.664,285.03,A0
684.0,268.137,9.881,-261.601,A2 IV/V
685.0,307.069,11.325,-414.402,K0 III
686.0,157.112,5.797,-91.021,F8/G III/IV + F
687.0,20.732,0.765,6.511,M0
688.0,132.49,4.894,-59.289,F3/5 V
689.0,70.377,2.603,49.192,F8
690.0,40.091,1.487,-92.329,G3/5 IV/V
691.0,47.396,1.759,61.447,F5
692.0,527.868,19.621,-62.915,M0 III
693.0,140.957,5.243,52.086,F5
694.0,343.869,12.797,67.957,F2
